Location
"Kabul,Kabul,Afghanistan"
"Cotui,Sanchez Ramirez Province,Dominican Republic"
"Paria,Oruro Department,Bolivia"
"San Francisco de Macoris,Duarte Province,Dominican Republic"
"Pedernales,Pedernales Province,Dominican Republic"
"Llallagua,Potosi Department,Bolivia"
"Bolivar,Carchi,Ecuador"
"Svay Chrum,Svay Rieng Province,Cambodia"
"Tinaquillo,Cojedes,Venezuela"
"Shushufindi,Sucumbios,Ecuador"
"Bizerte,Bizerte,Tunisia"
"Demodara,Uva Province,Sri Lanka"
"Esquipulas,Chiquimula Department,Guatemala"
"Azogues,Canar,Ecuador"
"Higuey,La Altagracia Province,Dominican Republic"
"Puerto Baquerizo Moreno,Galapagos Islands,Ecuador"
"Macas,Morona-Santiago,Ecuador"
"Duran,Guayas,Ecuador"
"Quetzaltenango,Quetzaltenango Department,Guatemala"
"Cumanda,Chimborazo,Ecuador"
"El Caobal,San Cristobal Province,Dominican Republic"
"Bani,Peravia Province,Dominican Republic"
"Ba Phnum,Prey Veng Province,Cambodia"
"La Guaira,Vargas,Venezuela"
"Prey Chhor,Kampong Cham Province,Cambodia"
"Samana,Samana Province,Dominican Republic"
"Chamac,San Marcos Department,Guatemala"
"Cuyotenango,Suchitepequez Department,Guatemala"
"Huehuetenango,Huehuetenango Department,Guatemala"
"O Smach,Oddar Meanchey Province,Cambodia"
"Sigchos,Cotopaxi,Ecuador"
"Sahline,Monastir,Tunisia"
"Jarabacoa,La Vega Province,Dominican Republic"
"Ibarra,Imbabura,Ecuador"
"Nuevo Boca de Cachon,Independencia Province,Dominican Republic"
"Alimosho,Alimosho,Lagos,Nigeria"
"Ibrahim Hyderi,Ibrahim Hyderi,Sindh,Pakistan"
"Quisqueya,Distrito Nacional,Dominican Republic"
"Tesanj,Zenica-Doboj Canton,Bosnia and Herzegovina"
"Lukavac,Tuzla Canton,Bosnia and Herzegovina"
"Travnik,Central Bosnia Canton,Bosnia and Herzegovina"
"Dimapur,Nagaland,India"
"Aizawl,Mizoram,India"
"Gangtok,Sikkim,India"
"Silvassa,Dadra and Nagar Haveli and Daman and Diu,India"
"Lochinver,Lochinver,Scotland,United Kingdom"
"Lancenigo,Lancenigo,Veneto,Italy"
"La Piedad de Cabadas,Mich.,Mexico"
"Skjak,Skjak,Oppland,Norway"
"Audnedal,Audnedal,Vest-Agder,Norway"
"Berg,Berg,Troms,Norway"
"Grand Canyon National Park,Grand Canyon National Park,Arizona,United States"
"Desert Hot Springs,Riverside,California,United States"
"Sequoia National Park,Tulare County,California,United States"
"Melcher-Dallas,Melcher-Dallas,Iowa,United States"
"Kingston,Kingston,Massachusetts,United States"
"Greenville,Greenville,New Hampshire,United States"
"Al Jawf,Al Jowf,Saudi Arabia"
"Askoy,Askoy,Hordaland,Norway"
"Bamble,Bamble,Telemark,Norway"
"Haram,Haram,More og Romsdal,Norway"
"Hurum,Hurum,Buskerud,Norway"
"Lenvik,Lenvik,Troms,Norway"
"Nannestad,Nannestad,Akershus,Norway"
"Nedre Eiker,Nedre Eiker,Buskerud,Norway"
"Sogndal,Sogndal,Sognog Fjordane,Norway"
"Stor-Elvdal,Stor-Elvdal,Hedmark,Norway"
"Asnes,Asnes,Hedmark,Norway"
"Fiorano Modenese,Fiorano Modenese,Emilia-Romagna,Italy"
"Centretown,Ottawa,Ontario,Canada"
"Mantsala,Mantsala,Finland"
